migration_id,current_path,current_domain,current_layer,target_domain,target_layer,target_path,reason,status,hash_source,hash_target
M066,backend/app/hoc/cus/policies/L5_engines/certificate.py,policies,L3 — Boundary Adapter,logs,L3 — Boundary Adapter,backend/app/hoc/cus/logs/L5_engines/certificate.py,"""proof"", ""evidence record"" are in logs' qualifier_phrases. | IMPORT REPOINTED: guard.py:83 repointed to logs.L5_engines.certificate",DELETE_DUPLICATE,b4cf1cddb2d6a8bf0dd94b5a9c1873df2b7fb918aa6f93b564cc9c1fee77934d,321c5ffb08a552d7bf8b19996facb70baf430ca2aaaa8510ab4fc6fdfd95c5f9
M067,backend/app/hoc/cus/policies/L5_engines/constraint_checker.py,policies,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/constraint_checker.py,"""governance enforcement"" in general's qualifier_phrases. Enforces",MOVED,1f630f83f952bcaecff859736e9a9ecac4a9c3af992a31fe7b35a2690c58cabe,
M068,backend/app/hoc/cus/policies/L5_engines/contract_engine.py,policies,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/contract_engine.py,"""job state"" in general's qualifier_phrases. Contract state machine",MOVED,c905749ae4329d1f145e4edb79941fa2b3000fe0d72d501a2c5dbd3b55bd7362,
M069,backend/app/hoc/cus/policies/L5_engines/control_registry.py,policies,L5 — Domain Engine,logs,L5 — Domain Engine,backend/app/hoc/cus/logs/L5_engines/control_registry.py,SOC2 compliance control registry is audit/compliance infrastructure.,MOVED,2d3b8087aeb884804c7c07fc2d257b2f5791681bc3d7fdf7ce55216834b39cf6,
M070,backend/app/hoc/cus/policies/L5_engines/controls_facade.py,policies,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/controls_facade.py,"Manages killswitches, circuit breakers, feature flags, throttles - all",MOVED,dff004c6bd379d344ef44245d8ab1910d30dde06961387937b3d94c65aa30374,
M071,backend/app/hoc/cus/policies/L5_engines/dag_sorter.py,policies,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/dag_sorter.py,Determines execution ORDER of policies - orchestration concern. Belongs,MOVED,884be22db021c5742cd879b8e3330f7fbb47254b6e5b706bc26d550f046f077b,
M072,backend/app/hoc/cus/policies/L5_engines/decisions.py,policies,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/decisions.py,"Abuse protection decisions (throttle, reject) are enforcement of limits.",MOVED,798ba3045577b28aea3f28fec52c84613fcc2399ce4c8b5f7188291551b61219,
M073,backend/app/hoc/cus/integrations/L3_adapters/customer_killswitch_adapter.py,integrations,L3 — Boundary Adapter,controls,L3 — Boundary Adapter,backend/app/hoc/cus/controls/L3_adapters/customer_killswitch_adapter.py,"""killswitch"" is EXPLICITLY in controls' qualifier_phrases. Adapters",MOVED,5a444f8ff9e32898119d9a5c7740072e32f33867bb8070fdd8a7ad85c4c7cdc2,
M074,backend/app/hoc/cus/integrations/L3_adapters/founder_contract_review_adapter.py,integrations,L3 — Boundary Adapter,policies,L3 — Boundary Adapter,backend/app/hoc/cus/policies/L3_adapters/founder_contract_review_adapter.py,Translates policy Contract domain models for review. Imports from,MOVED,425481b2bc656bddcb419134ae65fe95781ea172c29724226c7d83e4b66c849a,
M075,backend/app/hoc/cus/integrations/L3_adapters/policy_adapter.py,integrations,L3 — Boundary Adapter,policies,L3 — Boundary Adapter,backend/app/hoc/cus/policies/L3_adapters/policy_adapter.py,"""policy evaluation"" is in policies' qualifier_phrases. Imports from",MOVED,6a66c25258951f36eeadbdf4820891672717e1022ece9cb4e5fc0c61302a0a80,
M076,backend/app/hoc/cus/integrations/L5_engines/cost_safety_rails.py,integrations,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/cost_safety_rails.py,"""cost limit"", ""budget"" are in controls' qualifier_phrases. Cost safety",MOVED,3e21755c27412d6f8f6d084d31e66f222e4e01eccce5cf913be34c34cb5d0cdd,
M077,backend/app/hoc/cus/integrations/L5_engines/cost_snapshots.py,integrations,L5/L6 — HYBRID (pending refactor),analytics,L5/L6 — HYBRID (pending refactor),backend/app/hoc/cus/analytics/L5_engines/cost_snapshots.py,"""cost analysis"" is in analytics' qualifier_phrases. Cost snapshot",MOVED,465be03531da23a1a601c22745608c94974fda47a9096284a4ff2d80696903c8,
M078,backend/app/hoc/cus/integrations/L5_engines/cus_telemetry_service.py,integrations,L5 — Domain Engine,activity,L5 — Domain Engine,backend/app/hoc/cus/activity/L5_engines/cus_telemetry_service.py,"Telemetry ingestion records LLM run execution data. ""trace"", ""execution",MOVED,ae9ffb1cda65988b7bf6cc90bdea20eef1dd8f3cc0ed7bc36244359aa64e1922,
M079,backend/app/hoc/cus/integrations/L5_engines/identity_resolver.py,integrations,L5 — Domain Engine,account,L5 — Domain Engine,backend/app/hoc/cus/account/L5_engines/identity_resolver.py,"Identity resolution answers ""WHO is this actor?"" which is the account | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,5c648d58e3fad686b93481a2562eea4eaa3b7206b383d7bf41669790ab62f8d0,0031941ce8429b0db4a78f9a4cf1f37b588ce6d6e1c12473dca8f80e3f6757ed
M080,backend/app/hoc/cus/integrations/L5_engines/learning_proof_engine.py,integrations,L5 — Domain Engine,policies,L5 — Domain Engine,backend/app/hoc/cus/policies/L5_engines/learning_proof_engine.py,"""lesson learned"" is in policies' qualifier_phrases. Learning proof",MOVED,defb417970a5e8186e1437b4f241a6122a12ba810bdba2e063ec451f4341a41b,
M081,backend/app/hoc/cus/integrations/L5_schemas/cost_snapshot_schemas.py,integrations,L5 — Domain Schemas,analytics,L5 — Domain Schemas,backend/app/hoc/cus/analytics/L5_schemas/cost_snapshot_schemas.py,Schemas for cost snapshot computation which is analytics domain.,MOVED,6d551299da9b130af4e167b1eeb9fc4aed99bc7f70abe15bc80bafa4a2fee7b8,
M082,backend/app/hoc/cus/integrations/L6_drivers/bridges_driver.py,integrations,L6 — Domain Driver,logs,L6 — Domain Driver,backend/app/hoc/cus/logs/L6_drivers/bridges_driver.py,"""audit trail"" is in logs' qualifier_phrases. Records policy activation",MOVED,e9d6714c1fd6e0baf737d8fac888762da9f9205e5359cd42771e876b687553c2,
M083,backend/app/hoc/cus/integrations/L6_drivers/knowledge_plane.py,integrations,L6 — Domain Driver,general,L6 — Domain Driver,backend/app/hoc/cus/general/L6_drivers/knowledge_plane.py,"Product marked as ""system-wide"". Knowledge plane is cross-domain",MOVED,17d146232a31dfc67cf1944ab15d2fcccf652aa1ee3a00bf7ed441b6c5cd7cba,
